Respondent ID,Collector ID,Start Date,End Date,What age group do you belong?,Please rate the ease of use for accessing the Video Consultation today?,Please rate your overall experience of the Video Consultation today?,Would you be happy to use the Video Consultation again?,Please provide us with any additional comments/ suggestions.,Waiting Area
13495602950,258318234,2022-06-15 14:04:35,2022-06-15 14:04:55,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13495585913,258318234,2022-06-15 13:39:54,2022-06-15 13:40:16,16 - 25,Satisfied,Satisfied,Yes,,RLH-Gastroenterology
13495559329,258318234,2022-06-15 12:59:07,2022-06-15 12:59:29,16 - 25,Satisfied,Satisfied,Yes,,RLH-AXESS
13495450528,258318234,2022-06-15 09:23:56,2022-06-15 09:24:15,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13494947036,258318234,2022-06-14 17:56:05,2022-06-14 17:57:26,26 - 35,Dissatisfied,Satisfied,Yes,"Was difficult to connect, feel I lost the majority of session time which was disappointing. Possible hour long sessions aren’t long enough for the initial stages? ",RLH-AXESS
13494873412,258318234,2022-06-14 16:20:53,2022-06-14 16:25:04,65+,Satisfied,Dissatisfied,Yes,The line kept dropping out today.,AUH-Gastroenterology
13494724524,258318234,2022-06-14 13:20:34,2022-06-14 13:20:47,16 - 25,Very Dissatisfied,Very Dissatisfied,Yes,,RLH-Endocrinology
13494702677,258318234,2022-06-14 12:38:21,2022-06-14 12:44:12,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13494681370,258318234,2022-06-14 12:00:52,2022-06-14 12:03:28,65+,Very Dissatisfied,Very Dissatisfied,No,"Apart from being cut off mid sentence the sound quality was dreadful, Long delays between replies",AUH-Ophthalmology
13494670775,258318234,2022-06-14 11:42:00,2022-06-14 11:42:44,46 - 65,Very Satisfied,Very Satisfied,Yes,Worked perfectly. So easy to access. ,AUH-Ophthalmology
13494661882,258318234,2022-06-14 11:16:06,2022-06-14 11:24:32,65+,Very Satisfied,Dissatisfied,Yes,Video call didn’t work due to problems at RLH,RLH-ChemicalPathology
13494646079,258318234,2022-06-14 10:51:30,2022-06-14 10:51:42,16 - 25,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13494642117,258318234,2022-06-14 10:43:53,2022-06-14 10:44:09,65+,Very Satisfied,Very Satisfied,Yes,,AUH-Ophthalmology
13494639072,258318234,2022-06-14 10:37:49,2022-06-14 10:37:59,65+,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Yes,,AUH-Ophthalmology
13494636904,258318234,2022-06-14 10:33:34,2022-06-14 10:33:53,65+,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Yes,,AUH-Ophthalmology
13494624994,258318234,2022-06-14 10:09:32,2022-06-14 10:09:44,26 - 35,Satisfied,Satisfied,Yes,,AUH-Ophthalmology
13493925782,258318234,2022-06-13 15:17:31,2022-06-13 15:17:45,26 - 35,Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13493857894,258318234,2022-06-13 13:50:16,2022-06-13 13:59:57,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13493798219,258318234,2022-06-13 12:27:05,2022-06-13 12:27:19,36 - 45,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13493793562,258318234,2022-06-13 12:17:53,2022-06-13 12:18:22,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13493788874,258318234,2022-06-13 12:07:51,2022-06-13 12:09:04,46 - 65,Satisfied,Satisfied,Yes,"Many thanks, for your support.",BGH-Speech-and-Language-Therapy
13493767069,258318234,2022-06-13 11:22:25,2022-06-13 11:23:55,46 - 65,Very Dissatisfied,Very Dissatisfied,Yes,My appointment was at 1030am. I waited for an hour and no one attended my call. The phone number provided rang out and was useless. A very poor patient experience !,RLH-Diabetes
13493740810,258318234,2022-06-13 10:27:49,2022-06-13 10:28:07,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13493723321,258318234,2022-06-13 09:49:06,2022-06-13 09:49:23,36 - 45,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13492591398,258318234,2022-06-10 11:47:10,2022-06-10 22:01:44,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-ClinicalPsychology
13492309448,258318234,2022-06-10 11:47:10,2022-06-10 15:19:38,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-ClinicalPsychology
13492259745,258318234,2022-06-10 13:54:53,2022-06-10 14:12:19,16 - 25,Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13492178057,258318234,2022-06-10 11:47:10,2022-06-10 11:47:47,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-ClinicalPsychology
13491421238,258318234,2022-06-09 13:51:44,2022-06-09 13:52:04,36 - 45,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13491418806,258318234,2022-06-09 13:47:29,2022-06-09 13:48:42,36 - 45,Very Satisfied,Very Satisfied,Yes,I found the experience fine very easy to use ,RLH-Endocrinology
13491401264,258318234,2022-06-09 13:22:42,2022-06-09 13:25:01,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-Gastroenterology
13491358731,258318234,2022-06-09 12:11:54,2022-06-09 12:12:52,46 - 65,Very Satisfied,Very Satisfied,Yes,Excellent and much more feasible for me than in person attendance.,BGH-CFSandMETherapyService
13491346951,258318234,2022-06-09 11:50:21,2022-06-09 11:50:36,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13491306348,258318234,2022-06-09 10:29:45,2022-06-09 10:30:04,46 - 65,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13491293765,258318234,2022-06-09 09:57:24,2022-06-09 10:04:42,16 - 25,Satisfied,Neither Satisfied nor Dissatisfied,Yes,,RLH-Endocrinology
13491286417,258318234,2022-06-09 09:50:42,2022-06-09 09:51:18,26 - 35,Very Satisfied,Very Satisfied,Yes,Very helpful and understanding of my situation ,RLH-Gastroenterology
13490627041,258318234,2022-06-08 15:54:02,2022-06-08 15:54:35,46 - 65,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13490597140,258318234,2022-06-08 15:15:50,2022-06-08 15:21:22,65+,Satisfied,Very Dissatisfied,Yes,I was all set up for my planned video call at 1415.I waited until 1515 and nobody used the link to consult with me.I kept getting the message saying the team knows I am waiting.I rang the hospital to let them know and left a message on the secretaries answer phone.,RLH-UpperGI
13490589728,258318234,2022-06-08 14:59:59,2022-06-08 15:13:10,36 - 45,Very Satisfied,Very Satisfied,Yes,,RLH-AXESS
13490583859,258318234,2022-06-08 14:22:16,2022-06-08 15:06:37,65+,Very Dissatisfied,Very Dissatisfied,Yes,I waited one hour before the nurse rang my mobile and explained that she didn’t know I was in the waiting room and on the list and she said she wasn’t prepared for my consultation. We went ahead with it anyway.,AUH-General-Pathology
13490534439,258318234,2022-06-08 14:09:39,2022-06-08 14:10:04,65+,Very Satisfied,Very Satisfied,Yes,,RLH-Gastroenterology
13490486121,258318234,2022-06-08 13:04:58,2022-06-08 13:05:33,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-ClinicalPsychology
13490452882,258318234,2022-06-08 12:10:18,2022-06-08 12:10:42,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13490434137,258318234,2022-06-08 11:36:19,2022-06-08 11:36:44,16 - 25,Satisfied,Very Satisfied,Yes,,RLH-Gastroenterology
13490434099,258318234,2022-06-08 11:36:22,2022-06-08 11:36:40,46 - 65,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Yes,,RLH-Gastroenterology
13490424250,258318234,2022-06-08 10:35:33,2022-06-08 11:18:15,46 - 65,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Yes,,RLH-Gastroenterology
13490419437,258318234,2022-06-08 11:06:41,2022-06-08 11:08:59,46 - 65,Very Satisfied,Very Satisfied,Yes,"Clear constant picture so better consultation, got lots done. Lots of targeted support.",BGH-CFSandMETherapyService
13490412774,258318234,2022-06-08 10:56:15,2022-06-08 10:56:55,46 - 65,Satisfied,Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13490405791,258318234,2022-06-08 10:35:24,2022-06-08 10:44:24,16 - 25,Very Satisfied,Very Satisfied,Yes,,RLH-Gastroenterology
13490386803,258318234,2022-06-08 10:08:46,2022-06-08 10:09:00,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13490385611,258318234,2022-06-08 10:06:15,2022-06-08 10:06:32,46 - 65,Satisfied,Satisfied,Yes,,RLH-Gastroenterology
13489980331,258318234,2022-06-07 20:45:33,2022-06-07 20:47:39,65+,Satisfied,Satisfied,Yes,"Do not object to having appointment at the hospital due to constant pain every day, and sleepless nights.",AUH-MaxilloFacialUnit
13489669376,258318234,2022-06-07 15:11:28,2022-06-07 15:11:45,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13489635378,258318234,2022-06-07 14:35:13,2022-06-07 14:40:14,36 - 45,Very Satisfied,Very Satisfied,Yes,,AUH-Speech-and-Language-Therapy
13489617120,258318234,2022-06-07 14:18:43,2022-06-07 14:19:43,46 - 65,Satisfied,Satisfied,Yes,,RLH-Endocrinology
13489609866,258318234,2022-06-07 14:09:14,2022-06-07 14:11:46,65+,Very Satisfied,Very Satisfied,Yes,A very helpful and informative consultation Thank you ,RLH-Endocrinology
13489592058,258318234,2022-06-07 13:42:53,2022-06-07 13:52:26,36 - 45,Very Satisfied,Satisfied,Yes,"I havent received a video consultation link to my phone, and during the consultation i have lost the consultant from the scree but could still hear her. It could be due the fact that i disconnected the laptop from powerpoint because i wanted to show sth on the camera, but the laptop was fully charged.",RLH-Endocrinology
13489542059,258318234,2022-06-07 12:37:57,2022-06-07 12:39:20,46 - 65,Very Satisfied,Very Satisfied,Yes,Jane Knight is lovely to have a video consultation with,BGH-CFSandMETherapyService
13489498167,258318234,2022-06-07 11:20:01,2022-06-07 11:21:13,16 - 25,Very Satisfied,Very Satisfied,Yes,"sarah was lovely and i felt really comfortable , i had a great session",BGH-Speech-and-Language-Therapy
13489487885,258318234,2022-06-07 11:01:52,2022-06-07 11:02:11,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13489472065,258318234,2022-06-07 10:32:37,2022-06-07 10:33:30,46 - 65,Dissatisfied,Satisfied,Yes,Ensure link works in multiple browsers,RLH-Gastroenterology
13489438799,258318234,2022-06-07 09:30:02,2022-06-07 09:30:39,36 - 45,Very Satisfied,Satisfied,Yes,,RLH-Gastroenterology
13488883660,258318234,2022-06-06 17:47:33,2022-06-06 17:48:07,46 - 65,Satisfied,Satisfied,Yes,,RLH-AXESS
13488846711,258318234,2022-06-06 16:46:17,2022-06-06 17:07:17,65+,Very Satisfied,Very Satisfied,Yes,very well organised,RLH-ClinicalPsychology
13488817898,258318234,2022-06-06 15:24:11,2022-06-06 16:37:31,65+,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13488750419,258318234,2022-06-06 15:24:11,2022-06-06 15:24:41,65+,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13488702175,258318234,2022-06-06 14:28:07,2022-06-06 14:28:32,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13488675564,258318234,2022-06-06 13:59:27,2022-06-06 13:59:46,26 - 35,Very Satisfied,Satisfied,Yes,,RLH-Diabetes
13488672556,258318234,2022-06-06 13:56:39,2022-06-06 13:56:54,36 - 45,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13488613536,258318234,2022-06-06 12:16:52,2022-06-06 12:17:43,36 - 45,Very Satisfied,Very Satisfied,Yes,"Brilliant and very easy to join, much easier than teams and zoom",BGH-CFSandMETherapyService
13488562308,258318234,2022-06-06 10:14:09,2022-06-06 10:29:59,46 - 65,Very Satisfied,Very Satisfied,Yes,It was a pleasure talking to Phil today. I found it a lot less stressful and I was able to remember details better. Thank you ,RLH-Rheumatology
13488544317,258318234,2022-06-06 09:48:32,2022-06-06 09:49:00,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13488537754,258318234,2022-06-06 09:34:26,2022-06-06 09:34:50,46 - 65,Satisfied,Satisfied,Yes,,RLH-Rheumatology
13486932940,258318234,2022-06-03 11:55:20,2022-06-03 12:04:14,65+,Very Satisfied,Very Satisfied,Yes,All went well as is usually the case. ,AUH-ClinicalHealthPsychology
13485361080,258318234,2022-06-01 15:48:35,2022-06-01 15:48:49,26 - 35,Satisfied,Satisfied,Yes,,RLH-Dermatology
13485345953,258318234,2022-06-01 15:30:38,2022-06-01 15:32:01,46 - 65,Very Dissatisfied,Very Dissatisfied,No,Sat waiting for nearly an hour contacted number on letter to find out that consultation had been cancelled until September! No notification from you that this had happened ,RLH-ChemicalPathology
13485255718,258318234,2022-06-01 13:45:22,2022-06-01 13:45:32,16 - 25,Very Satisfied,Very Satisfied,Yes,,RLH-Dermatology
13485252246,258318234,2022-06-01 13:40:59,2022-06-01 13:41:23,26 - 35,Very Dissatisfied,Very Dissatisfied,No,,RLH-Endocrinology
13485198498,258318234,2022-06-01 10:31:56,2022-06-01 12:25:50,36 - 45,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13485145890,258318234,2022-06-01 10:50:07,2022-06-01 10:50:20,16 - 25,Satisfied,Satisfied,Yes,,BGH-CFSandMETherapyService
13485143876,258318234,2022-06-01 10:45:53,2022-06-01 10:46:39,16 - 25,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13485136062,258318234,2022-06-01 10:31:56,2022-06-01 10:32:14,36 - 45,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13485113984,258318234,2022-06-01 09:48:33,2022-06-01 09:49:12,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-ClinicalPsychology
13484554521,258318234,2022-05-31 17:34:42,2022-05-31 17:34:59,16 - 25,Satisfied,Satisfied,Yes,,RLH-AXESS
13484488572,258318234,2022-05-31 16:27:35,2022-05-31 16:27:56,36 - 45,Very Satisfied,Very Satisfied,Yes,,RLH-AXESS
13484415638,258318234,2022-05-31 15:17:13,2022-05-31 15:18:54,26 - 35,Very Satisfied,Very Satisfied,Yes,"This video consultation was uplifting, reassuring and extremely helpful, I'm more then pleased.",BGH-Speech-and-Language-Therapy
13484367964,258318234,2022-05-31 14:21:34,2022-05-31 14:21:50,16 - 25,Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13484351362,258318234,2022-05-31 13:52:20,2022-05-31 14:01:22,65+,Very Satisfied,Very Satisfied,Yes,been most informative thankyou,RLH-ClinicalPsychology
13484316666,258318234,2022-05-31 13:12:39,2022-05-31 13:13:05,16 - 25,Neither Satisfied nor Dissatisfied,Dissatisfied,Yes,Call kept dropping.,BGH-Speech-and-Language-Therapy
13484312801,258318234,2022-05-31 13:06:12,2022-05-31 13:06:58,26 - 35,Very Satisfied,Very Satisfied,Yes,Great,RLH-AXESS
13484241758,258318234,2022-05-31 10:56:26,2022-05-31 10:57:36,16 - 25,Satisfied,Very Satisfied,Yes,My therapist Chris was lovely! ,BGH-Speech-and-Language-Therapy
13483735835,258318234,2022-05-30 16:41:11,2022-05-30 16:46:21,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-AXESS
13483702088,258318234,2022-05-30 15:51:57,2022-05-30 15:52:22,65+,Very Dissatisfied,Very Dissatisfied,No,No one answered,RLH-Rheumatology
13483672090,258318234,2022-05-30 15:05:17,2022-05-30 15:05:30,26 - 35,Satisfied,Satisfied,Yes,,RLH-AXESS
13483575547,258318234,2022-05-30 12:30:43,2022-05-30 12:30:56,36 - 45,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13483560008,258318234,2022-05-30 12:00:14,2022-05-30 12:00:49,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13483543647,258318234,2022-05-30 11:27:40,2022-05-30 11:27:58,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13483517629,258318234,2022-05-30 10:35:19,2022-05-30 10:35:40,36 - 45,Very Dissatisfied,Very Dissatisfied,Yes,,RLH-Diabetes
13483491238,258318234,2022-05-30 09:47:12,2022-05-30 09:47:36,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13483485401,258318234,2022-05-30 09:34:34,2022-05-30 09:35:02,46 - 65,Very Satisfied,Satisfied,Yes,,RLH-Diabetes
13483482195,258318234,2022-05-30 09:28:08,2022-05-30 09:28:22,36 - 45,Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13483470393,258318234,2022-05-30 08:58:46,2022-05-30 09:04:52,46 - 65,Very Satisfied,Very Satisfied,Yes,Video consultation works very efficiently but would be good to train GPs (or nurses) to help check pod sites on body as this does not get checked in Primary Care diabetes review. ,RLH-Diabetes
13482107024,258318234,2022-05-27 16:00:02,2022-05-27 16:01:10,36 - 45,Very Satisfied,Very Satisfied,Yes,Amazing and very convenient   Easier to fit in with work and family commitments ,BGH-CFSandMETherapyService
13482039219,258318234,2022-05-27 14:03:39,2022-05-27 14:32:20,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13482029583,258318234,2022-05-27 14:19:05,2022-05-27 14:19:27,36 - 45,Very Satisfied,Satisfied,Yes,,BGH-CFSandMETherapyService
13481922387,258318234,2022-05-27 11:17:41,2022-05-27 11:18:01,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-AXESS
13481920015,258318234,2022-05-27 11:10:02,2022-05-27 11:12:51,36 - 45,Very Dissatisfied,Very Dissatisfied,No,,AUH-PalliativeCare
13481873360,258318234,2022-05-27 09:30:04,2022-05-27 09:30:22,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13481637089,258318234,2022-05-26 14:26:46,2022-05-26 23:48:27,46 - 65,Satisfied,Satisfied,Yes,,AUH-Hepatobiliary
13481213229,258318234,2022-05-26 14:26:20,2022-05-26 14:31:09,65+,Satisfied,Satisfied,Yes,,AUH-NorthWestAssistedTechnology
13481210557,258318234,2022-05-26 14:27:18,2022-05-26 14:27:55,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13481152610,258318234,2022-05-26 13:08:27,2022-05-26 13:08:47,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13481123678,258318234,2022-05-26 12:05:41,2022-05-26 12:18:31,36 - 45,Satisfied,Satisfied,Yes,,RLH-Endocrinology
13481121746,258318234,2022-05-26 12:12:33,2022-05-26 12:14:54,65+,Satisfied,Dissatisfied,Yes,My son and daughter helped me access this facility today as I have no knowledge of what to do.   System is good when it works straight away.   Thanks,AUH-Ophthalmology
13481105159,258318234,2022-05-26 11:05:59,2022-05-26 11:43:01,26 - 35,Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13481099016,258318234,2022-05-26 11:30:20,2022-05-26 11:30:34,26 - 35,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13481087223,258318234,2022-05-26 11:05:59,2022-05-26 11:06:15,26 - 35,Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13481068196,258318234,2022-05-26 10:27:50,2022-05-26 10:28:26,36 - 45,Satisfied,Satisfied,Yes,,RLH-Diabetes
13481066427,258318234,2022-05-26 10:24:00,2022-05-26 10:24:46,16 - 25,Very Dissatisfied,Very Dissatisfied,No,The video connection did not work and had to resort to a phone call appointment,BGH-CFSandMETherapyService
13481064923,258318234,2022-05-26 10:21:23,2022-05-26 10:21:41,36 - 45,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13481062017,258318234,2022-05-26 10:15:24,2022-05-26 10:15:42,16 - 25,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13481053029,258318234,2022-05-26 09:54:21,2022-05-26 09:57:38,36 - 45,Very Satisfied,Very Satisfied,Yes,,RLH-Diabetes
13481051755,258318234,2022-05-26 09:39:10,2022-05-26 09:54:49,46 - 65,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Yes,The clinician called me on my mobile as she didn’t have a camera so technically it wasn’t a video call.,RLH-Endocrinology
13481038756,258318234,2022-05-26 09:25:52,2022-05-26 09:26:45,65+,Very Satisfied,Very Satisfied,Yes,Only problem call kept breaking up.,AUH-Ophthalmology
13480532174,258318234,2022-05-25 12:49:46,2022-05-25 18:06:25,16 - 25,Very Satisfied,Very Satisfied,Yes,,RLH-AXESS
13480452979,258318234,2022-05-25 16:37:57,2022-05-25 16:42:34,65+,Dissatisfied,Satisfied,Yes,"unable to access link via my phone, don't know why. fortunately i could access it via this computer",RLH-Gastroenterology
13480403667,258318234,2022-05-25 15:47:46,2022-05-25 15:49:15,26 - 35,Very Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13480369550,258318234,2022-05-25 15:04:47,2022-05-25 15:11:50,46 - 65,Satisfied,Neither Satisfied nor Dissatisfied,No,Thank you for today  Karen W,RLH-Gastroenterology
13480351494,258318234,2022-05-25 14:51:05,2022-05-25 14:52:01,46 - 65,Very Satisfied,Very Satisfied,Yes,,RLH-ClinicalPsychology
13480345848,258318234,2022-05-25 14:45:14,2022-05-25 14:45:43,65+,Very Satisfied,Very Satisfied,Yes,,RLH-UpperGI
13480323274,258318234,2022-05-25 14:19:09,2022-05-25 14:19:32,46 - 65,Very Satisfied,Very Satisfied,Yes,,AUH-General-Pathology
13480311077,258318234,2022-05-25 14:04:27,2022-05-25 14:05:20,46 - 65,Satisfied,Satisfied,Yes,,RLH-UpperGI
13480245113,258318234,2022-05-25 12:31:52,2022-05-25 12:32:08,16 - 25,Satisfied,Satisfied,Yes,,RLH-Clinical-Haematology
13480244777,258318234,2022-05-25 12:31:11,2022-05-25 12:31:34,26 - 35,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13480229753,258318234,2022-05-25 12:06:05,2022-05-25 12:06:33,46 - 65,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13480210590,258318234,2022-05-25 11:31:41,2022-05-25 11:31:57,26 - 35,Very Satisfied,Very Satisfied,Yes,,AUH-ClinicalHealthPsychology
13480199032,258318234,2022-05-25 11:10:27,2022-05-25 11:11:02,46 - 65,Satisfied,Satisfied,Yes,,BGH-CFSandMETherapyService
13480167624,258318234,2022-05-25 10:14:10,2022-05-25 10:16:26,46 - 65,Very Satisfied,Very Satisfied,Yes,It's a great way to communicate. I live some distance from the hospital and driving there would be quite difficult so it's a brilliant alternative. Thank you :),BGH-CFSandMETherapyService
13480149207,258318234,2022-05-25 09:39:46,2022-05-25 09:40:14,46 - 65,Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13479434991,258318234,2022-05-24 15:23:18,2022-05-24 15:23:32,26 - 35,Satisfied,Very Satisfied,Yes,,RLH-Endocrinology
13479398078,258318234,2022-05-24 14:48:22,2022-05-24 14:48:40,26 - 35,Satisfied,Very Satisfied,Yes,,BGH-Speech-and-Language-Therapy
13479374849,258318234,2022-05-24 14:24:51,2022-05-24 14:25:17,26 - 35,Very Satisfied,Neither Satisfied nor Dissatisfied,Yes,,RLH-Endocrinology
13479367845,258318234,2022-05-24 14:17:36,2022-05-24 14:17:54,16 - 25,Very Satisfied,Satisfied,Yes,,RLH-Rheumatology
13479336005,258318234,2022-05-24 13:40:48,2022-05-24 13:41:20,46 - 65,Very Satisfied,Very Satisfied,Yes,Doctor was lovely . He listened and was very helpful ,RLH-Endocrinology
13479277820,258318234,2022-05-24 12:11:56,2022-05-24 12:12:15,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13479256219,258318234,2022-05-24 11:34:18,2022-05-24 11:34:39,26 - 35,Satisfied,Satisfied,Yes,,RLH-AXESS
13479254778,258318234,2022-05-24 11:31:34,2022-05-24 11:32:03,46 - 65,Neither Satisfied nor Dissatisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13479252418,258318234,2022-05-24 11:26:59,2022-05-24 11:27:51,65+,Very Satisfied,Very Satisfied,Yes,,RLH-Gastroenterology
13479249152,258318234,2022-05-24 11:21:45,2022-05-24 11:22:08,46 - 65,Very Satisfied,Very Satisfied,Yes,,BGH-CFSandMETherapyService
13479237837,258318234,2022-05-24 11:00:03,2022-05-24 11:01:34,26 - 35,Very Dissatisfied,Satisfied,Yes,I can’t copy and paste the link from a paper copy. Receiving the link electronically is the only way it will work.,BGH-CFSandMETherapyService
13479199325,258318234,2022-05-24 09:49:41,2022-05-24 09:49:54,26 - 35,Satisfied,Satisfied,Yes,,RLH-Gastroenterology
